City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Busselton,-33.65,115.3333,45.09,75,100,8.97,AU,2021-08-10 23:50:57
1,Rikitea,-23.1203,-134.9692,70.68,66,19,13.44,PF,2021-08-10 23:50:57
2,Hasaki,35.7333,140.8333,84.6,72,78,9.22,JP,2021-08-10 23:50:58
3,Upernavik,72.7868,-56.1549,44.96,77,100,6.02,GL,2021-08-10 23:50:58
4,Baracoa,20.3467,-74.4958,80.44,84,49,8.43,CU,2021-08-10 23:50:58
5,Hilo,19.7297,-155.09,83.93,80,40,9.22,US,2021-08-10 23:50:02
6,Castro,-24.7911,-50.0119,60.94,59,71,2.3,BR,2021-08-10 23:50:59
7,Mahebourg,-20.4081,57.7,68.29,94,75,3.44,MU,2021-08-10 23:50:59
8,Kodiak,57.79,-152.4072,69.31,40,1,6.91,US,2021-08-10 23:46:16
9,Bonthe,7.5264,-12.505,77.05,87,98,5.21,SL,2021-08-10 23:51:00
10,Tuktoyaktuk,69.4541,-133.0374,53.6,66,90,11.5,CA,2021-08-10 23:51:00
11,Albany,42.6001,-73.9662,79.74,78,60,4.45,US,2021-08-10 23:47:31
12,Port Elizabeth,-33.918,25.5701,46.69,93,0,4.61,ZA,2021-08-10 23:49:51
13,Mataura,-46.1927,168.8643,54.48,80,50,5.37,NZ,2021-08-10 23:51:01
14,Iqaluit,63.7506,-68.5145,46.13,71,75,17.27,CA,2021-08-10 23:51:01
15,Ushuaia,-54.8,-68.3,37.06,75,40,32.21,AR,2021-08-10 23:51:02
16,Cape Town,-33.9258,18.4232,50.11,100,0,1.14,ZA,2021-08-10 23:46:29
17,Carnarvon,-24.8667,113.6333,46.47,63,0,10.36,AU,2021-08-10 23:51:02
18,Punta Arenas,-53.15,-70.9167,39.31,70,75,19.57,CL,2021-08-10 23:48:27
19,Henties Bay,-22.116,14.2845,58.86,95,20,9.64,NA,2021-08-10 23:51:03
20,Dingle,10.9995,122.6711,79.63,79,99,1.39,PH,2021-08-10 23:51:03
21,Vao,-22.6667,167.4833,67.14,60,94,22.95,NC,2021-08-10 23:51:03
22,Nikolskoye,59.7035,30.7861,58.01,90,39,0.92,RU,2021-08-10 23:51:04
23,Vaini,-21.2,-175.2,69.96,78,75,17.27,TO,2021-08-10 23:51:04
24,Norman Wells,65.282,-126.8329,53.64,82,90,4.61,CA,2021-08-10 23:51:05
25,Fortuna,40.5982,-124.1573,64.65,75,20,9.22,US,2021-08-10 23:51:05
26,Shimoda,34.6667,138.95,82.76,68,59,3.11,JP,2021-08-10 23:51:05
27,Tiksi,71.6872,128.8694,63.68,71,99,14.47,RU,2021-08-10 23:51:06
28,Sevsk,52.1491,34.4926,70.41,56,100,9.62,RU,2021-08-10 23:51:06
29,Dongli,23.5656,116.8194,82.38,94,40,2.24,CN,2021-08-10 23:51:06
30,Butaritari,3.0707,172.7902,83.64,65,16,13.49,KI,2021-08-10 23:51:07
31,Barrow,71.2906,-156.7887,37.42,80,90,8.05,US,2021-08-10 23:51:07
32,Hithadhoo,-0.6,73.0833,80.98,72,80,7.23,MV,2021-08-10 23:51:08
33,Nipawin,53.3668,-104.0009,68.04,55,75,18.41,CA,2021-08-10 23:51:08
34,Jamestown,42.097,-79.2353,78.08,84,90,5.99,US,2021-08-10 23:49:33
35,Hermanus,-34.4187,19.2345,49.89,71,0,2.42,ZA,2021-08-10 23:51:08
36,Avarua,-21.2078,-159.775,78.85,78,2,4.61,CK,2021-08-10 23:51:09
37,Longyearbyen,78.2186,15.6401,42.64,93,0,4.61,SJ,2021-08-10 23:51:09
38,Bethel,41.3712,-73.414,78.71,88,66,5.48,US,2021-08-10 23:48:57
39,Wamba,8.9333,8.6,70.79,96,83,2.66,NG,2021-08-10 23:51:10
40,Comodoro Rivadavia,-45.8667,-67.5,39.06,60,0,5.75,AR,2021-08-10 23:51:10
41,Balkanabat,39.5108,54.3671,90.0,16,0,8.46,TM,2021-08-10 23:51:11
42,Bredasdorp,-34.5322,20.0403,40.32,93,0,3.44,ZA,2021-08-10 23:51:11
43,Atuona,-9.8,-139.0333,77.67,71,12,22.3,PF,2021-08-10 23:51:12
44,Mount Isa,-20.7333,139.5,73.17,33,5,8.05,AU,2021-08-10 23:51:12
45,Yumen,40.2833,97.2,67.84,45,70,5.77,CN,2021-08-10 23:51:12
46,Pilar,-9.5972,-35.9567,71.53,95,50,4.41,BR,2021-08-10 23:51:13
47,Cutervo,-6.379,-78.8157,52.34,90,71,3.85,PE,2021-08-10 23:51:13
48,Salalah,17.0151,54.0924,74.77,97,85,5.95,OM,2021-08-10 23:51:14
49,Bengkulu,-3.8004,102.2655,75.04,90,99,4.59,ID,2021-08-10 23:51:14
50,Sao Jose Da Coroa Grande,-8.8978,-35.1478,74.64,89,27,9.98,BR,2021-08-10 23:51:14
51,Lebu,-37.6167,-73.65,47.19,81,0,21.0,CL,2021-08-10 23:51:15
52,Hobyo,5.3505,48.5268,76.59,78,88,20.76,SO,2021-08-10 23:51:15
53,Hobart,-42.8794,147.3294,59.25,64,75,5.01,AU,2021-08-10 23:51:16
54,Thompson,55.7435,-97.8558,60.96,94,75,5.75,CA,2021-08-10 23:49:02
55,Qaanaaq,77.484,-69.3632,43.9,66,100,9.24,GL,2021-08-10 23:51:16
56,Begun,24.9833,75.0,74.89,82,31,10.65,IN,2021-08-10 23:51:17
57,Codrington,-38.2667,141.9667,54.75,67,100,20.18,AU,2021-08-10 23:51:17
58,Cidreira,-30.1811,-50.2056,55.53,88,100,13.0,BR,2021-08-10 23:51:18
59,Yekaterinoslavka,50.3734,129.1139,62.73,67,52,5.75,RU,2021-08-10 23:51:18
60,Hadrut,39.52,47.0318,76.46,46,19,3.98,AZ,2021-08-10 23:51:18
61,Saint George,37.1041,-113.5841,104.63,16,1,3.0,US,2021-08-10 23:47:33
62,Ribeira Grande,38.5167,-28.7,72.54,87,37,8.9,PT,2021-08-10 23:51:19
63,Dalbandin,28.8947,64.4101,85.14,15,1,7.83,PK,2021-08-10 23:51:19
64,Khatanga,71.9667,102.5,49.69,83,97,15.5,RU,2021-08-10 23:51:20
65,Verkhnyaya Inta,65.9811,60.3094,51.69,83,83,6.06,RU,2021-08-10 23:51:20
66,Pevek,69.7008,170.3133,37.02,85,74,10.78,RU,2021-08-10 23:51:21
67,Bathsheba,13.2167,-59.5167,79.41,89,20,5.75,BB,2021-08-10 23:51:21
68,Sorland,67.667,12.6934,55.36,92,100,6.64,NO,2021-08-10 23:51:22
69,Rio Muerto,27.4167,-110.2333,91.29,53,72,14.03,MX,2021-08-10 23:51:22
70,Hamilton,39.1834,-84.5333,87.75,84,20,4.0,US,2021-08-10 23:47:12
71,Ballangen,68.3428,16.8315,62.19,94,90,1.14,NO,2021-08-10 23:51:22
72,Kurud,20.8322,81.7214,76.46,88,100,7.92,IN,2021-08-10 23:51:23
73,Saskylakh,71.9167,114.0833,60.51,67,77,5.57,RU,2021-08-10 23:51:23
74,Klaksvik,62.2266,-6.589,49.12,87,98,4.36,FO,2021-08-10 23:51:23
75,Awjilah,29.1081,21.2869,83.97,53,0,6.42,LY,2021-08-10 23:51:24
76,Seguela,7.9611,-6.6731,70.21,97,71,4.18,CI,2021-08-10 23:51:24
77,Tabuk,17.4189,121.4443,79.3,83,92,3.09,PH,2021-08-10 23:51:24
78,Port Alfred,-33.5906,26.891,55.08,66,0,8.79,ZA,2021-08-10 23:51:25
79,Zeya,53.75,127.2667,66.54,59,1,0.96,RU,2021-08-10 23:51:25
80,Parrita,9.5201,-84.3225,85.77,85,90,4.47,CR,2021-08-10 23:51:26
81,Novopavlovka,51.2172,109.2091,61.16,53,17,2.19,RU,2021-08-10 23:51:26
82,Nyurba,63.2842,118.3319,66.25,60,100,4.54,RU,2021-08-10 23:51:27
83,Makushino,55.2103,67.2442,54.05,92,84,12.86,RU,2021-08-10 23:51:27
84,Ambon,-3.6954,128.1814,77.14,94,40,2.3,ID,2021-08-10 23:51:23
85,Mana,5.6592,-53.7767,77.67,89,95,8.72,GF,2021-08-10 23:51:28
86,Purpe,64.4803,76.6897,48.49,80,3,8.61,RU,2021-08-10 23:51:28
87,Reconquista,-29.15,-59.65,46.96,43,0,7.49,AR,2021-08-10 23:51:28
88,Xuddur,4.1213,43.8894,69.53,75,34,16.06,SO,2021-08-10 23:51:29
89,Makakilo City,21.3469,-158.0858,86.32,58,20,12.66,US,2021-08-10 23:51:29
90,Xichang,27.8964,102.2634,68.34,90,100,1.14,CN,2021-08-10 23:51:30
91,San Carlos De Bariloche,-41.1456,-71.3082,42.55,31,0,5.75,AR,2021-08-10 23:48:29
92,New Norfolk,-42.7826,147.0587,58.91,69,100,1.99,AU,2021-08-10 23:51:30
93,Harnai,30.1005,67.9374,82.83,51,0,2.35,PK,2021-08-10 23:51:31
94,Yellowknife,62.456,-114.3525,57.72,58,90,8.05,CA,2021-08-10 23:51:31
95,Kapaa,22.0752,-159.319,86.32,66,20,1.99,US,2021-08-10 23:51:31
96,Tawang,27.5833,91.8667,57.67,93,99,1.83,IN,2021-08-10 23:51:32
97,Great Yarmouth,52.6083,1.7305,64.65,78,68,7.27,GB,2021-08-10 23:51:32
98,Los Llanos De Aridane,28.6585,-17.9182,69.55,96,20,6.91,ES,2021-08-10 23:51:33
99,Puerto Ayora,-0.7393,-90.3518,70.56,89,81,7.0,EC,2021-08-10 23:51:33
100,Basco,20.4487,121.9702,83.39,72,100,4.27,PH,2021-08-10 23:51:34
101,Acari,-15.4311,-74.6158,64.72,75,60,3.47,PE,2021-08-10 23:51:34
102,Jarocin,51.9727,17.5026,58.75,88,9,6.04,PL,2021-08-10 23:51:35
103,Quzhou,28.9594,118.8686,78.49,96,100,3.13,CN,2021-08-10 23:51:35
104,Falkenstein,50.4779,12.3713,58.05,83,6,5.01,DE,2021-08-10 23:51:36
105,Yerbogachen,61.2767,108.0108,64.54,65,86,1.07,RU,2021-08-10 23:51:36
106,Victoria,22.2855,114.1577,85.32,86,100,1.01,HK,2021-08-10 23:51:37
107,College,64.8569,-147.8028,60.75,81,75,6.91,US,2021-08-10 23:51:37
108,Mecca,21.4267,39.8261,90.36,21,41,2.55,SA,2021-08-10 23:48:17
109,Ilulissat,69.2167,-51.1,39.27,95,100,1.07,GL,2021-08-10 23:51:38
110,Toppenish,46.3774,-120.3087,97.72,17,24,1.9,US,2021-08-10 23:51:38
111,Hofn,64.2539,-15.2082,50.65,88,46,9.78,IS,2021-08-10 23:51:39
112,Broome,42.2506,-75.833,81.19,79,1,9.22,US,2021-08-10 23:51:39
113,Severo-Yeniseyskiy,60.3725,93.0408,58.78,63,10,1.25,RU,2021-08-10 23:51:39
114,Vila Velha,-20.3297,-40.2925,71.55,83,0,5.75,BR,2021-08-10 23:50:04
115,Chuy,-33.6971,-53.4616,44.04,84,38,8.28,UY,2021-08-10 23:51:40
116,Morant Bay,17.8815,-76.4093,87.42,78,6,8.12,JM,2021-08-10 23:51:40
117,Naze,28.3667,129.4833,81.52,85,100,13.82,JP,2021-08-10 23:51:41
118,Torbay,47.6666,-52.7314,61.39,82,75,12.66,CA,2021-08-10 23:51:41
119,Calabozo,8.9242,-67.4293,75.87,91,56,1.92,VE,2021-08-10 23:51:42
120,Oussouye,12.485,-16.5469,80.78,83,95,5.86,SN,2021-08-10 23:51:42
121,Stepnoye,51.4,46.8667,74.68,37,90,8.84,RU,2021-08-10 23:51:42
122,Guerrero Negro,27.9769,-114.0611,81.79,53,5,13.49,MX,2021-08-10 23:51:43
123,Batouri,4.4333,14.3667,67.21,98,70,2.48,CM,2021-08-10 23:51:43
