City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3131,Sena Madureira,BR,75.94,broken clouds,-9.0656,-68.6569,Hotel Central
3132,Balaguer,ES,78.4,overcast clouds,41.7912,0.8109,Hotel Balaguer
3133,Dingle,PH,88.56,light rain,10.9995,122.6711,SEGAYA PROPERTY
3134,Hamilton,US,84.15,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
3136,Hobyo,SO,77.07,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
3139,Fairfield,US,79.3,clear sky,41.2668,-73.3162,
3140,Marbella,ES,77.25,scattered clouds,36.5154,-4.8858,Hotel Fuerte Marbella
3143,Avera,US,76.51,broken clouds,33.194,-82.5271,
3144,Oussouye,SN,80.69,overcast clouds,12.485,-16.5469,Auberge du Routard
3146,Westport,US,80.42,clear sky,41.1415,-73.3579,The Westport Inn
3147,Shingu,JP,77.99,moderate rain,33.7333,135.9833,Shingu UI Hotel
3148,Goundam,ML,84.07,clear sky,16.4145,-3.6708,
3155,Zaysan,KZ,81.28,broken clouds,47.4667,84.8667,Ерлан үй
3157,Ahmadpur Sial,PK,85.87,clear sky,30.6754,71.7483,Khan Mobile Shop
3160,Surt,LY,83.07,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
3164,Havelock,US,82.94,clear sky,34.8791,-76.9013,Sherwood Motel
3166,Palmer,US,79.97,scattered clouds,42.1584,-72.3287,Wedgewood Motel
3172,Port-Gentil,GA,76.51,overcast clouds,-0.7193,8.7815,Fengshui Residence
3173,Camocim,BR,77.54,few clouds,-2.9022,-40.8411,Hotel Ilha do Amor
3174,Matamoros,MX,87.91,broken clouds,25.5333,-103.25,Quinta Belem
3176,Samarai,PG,79.5,broken clouds,-10.6167,150.6667,Nuli Sapi
3177,Arlit,NE,89.01,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
3180,Guane,CU,78.04,scattered clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
3184,Tahta,EG,80.71,clear sky,26.7693,31.5021,El Salam Hotel
3187,Ballina,AU,77.04,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
3188,Waingapu,ID,87.46,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
3191,Porto Novo,BJ,78.62,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
3192,Aswan,EG,85.3,clear sky,24.0934,32.907,Nuba Nile
3193,Korla,CN,88.56,clear sky,41.7597,86.1469,Gulisitan Hotel
3196,Mancio Lima,BR,76.21,overcast clouds,-7.6142,-72.8958,Hotel e Distribuidora Voyage
3199,Kimbe,PG,83.37,light rain,-5.5502,150.1429,Kimbe Bay Hotel
3205,Byron Bay,AU,77.05,scattered clouds,-28.65,153.6167,Backpackers Inn on the Beach
3212,Buckeye,US,88.7,clear sky,33.3703,-112.5838,Buckeye Motor Hotel
3217,Jega,NG,75.47,overcast clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
3218,Teya,RU,75.58,overcast clouds,60.3778,92.6267,
3222,Bairiki,KI,87.8,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
3231,Merritt Island,US,83.08,clear sky,28.5392,-80.672,
3234,Dongli,CN,89.58,light rain,23.5656,116.8194,Chenghai Shizhang Donghuaqiao Hostel
3236,Umri,IN,89.91,overcast clouds,26.5106,78.9367,shri kheda pati bajrang bali ji mandir umri
3238,Chumikan,RU,75.52,clear sky,54.7183,135.315,Fortuna
3240,Barreirinha,BR,77.52,clear sky,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
3243,Acapulco,MX,78.19,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
3245,Ust-Maya,RU,85.51,broken clouds,60.4167,134.5333,
3250,Kavaratti,IN,82.04,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
3252,Praia,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
3255,Chaozhou,CN,89.46,light rain,23.6651,116.6379,Seven Corner View Homestay
3258,Bowen,AU,75.42,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
3259,Borgo San Dalmazzo,IT,75.15,clear sky,44.333,7.4858,hotel ristorante pizzeria Le Lanterne
3260,Gaoyou,CN,78.51,light rain,32.7858,119.4278,如家快捷酒店
3261,Jiuquan,CN,80.73,clear sky,39.7432,98.5174,Jiuquan Hotel
3262,Filadelfia,US,76.1,clear sky,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
3263,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
3264,Churapcha,RU,84.96,broken clouds,62.0025,132.4325,
3265,Kihei,US,83.46,few clouds,20.785,-156.4656,Maui Sunset
3267,Quila,MX,84.06,broken clouds,24.4228,-107.22,Madereria Mercado
3270,Komsomolskiy,UZ,86.72,clear sky,40.4272,71.7189,Ikathouse
3271,Mana,GF,76.71,overcast clouds,5.6592,-53.7767,LE SAMANA
3273,Mahibadhoo,MV,83.61,overcast clouds,3.7833,72.9667,Omadhoo Inn
3275,Stephenville,US,85.82,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
3277,Jalu,LY,81.82,clear sky,29.0331,21.5482,صاحبة الفخامة
