City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description,Current Description
1421,Necochea,-38.5473,-58.7368,40.6,50,7,9.6,AR,2021-08-11 02:02:17,clear sky,
1422,Busselton,-33.65,115.3333,56.05,67,90,12.03,AU,2021-08-11 02:05:13,overcast clouds,
1423,Port-Cartier,50.0334,-66.8654,62.82,98,100,4.41,CA,2021-08-11 02:05:14,overcast clouds,
1424,Kruisfontein,-34.0033,24.7314,50.25,29,0,8.61,ZA,2021-08-11 02:05:14,clear sky,
1425,Ushuaia,-54.8,-68.3,27.07,90,30,5.77,AR,2021-08-11 02:03:00,scattered clouds,
1426,Sao Jose Da Coroa Grande,-8.8978,-35.1478,74.12,91,60,9.46,BR,2021-08-11 02:05:15,broken clouds,
1427,Salalah,17.0151,54.0924,75.29,100,90,4.61,OM,2021-08-11 02:05:15,overcast clouds,
1428,Tasiilaq,65.6145,-37.6368,46.56,90,100,4.88,GL,2021-08-11 02:05:15,overcast clouds,
1429,Albany,42.6001,-73.9662,77.31,84,77,4.34,US,2021-08-11 02:01:33,broken clouds,
1430,Puerto Ayora,-0.7393,-90.3518,69.55,90,99,7.0,EC,2021-08-11 02:05:16,overcast clouds,
1431,Killybegs,54.6333,-8.45,61.45,89,100,11.7,IE,2021-08-11 02:05:16,overcast clouds,
1432,Lufilufi,-13.8745,-171.5986,82.06,71,4,17.81,WS,2021-08-11 02:05:17,clear sky,
1433,Hermanus,-34.4187,19.2345,47.89,71,0,0.89,ZA,2021-08-11 02:05:17,clear sky,
1434,Provideniya,64.3833,-173.3,50.11,66,90,4.47,RU,2021-08-11 02:05:17,overcast clouds,
1435,Veraval,20.9,70.3667,81.37,79,100,12.8,IN,2021-08-11 02:05:18,overcast clouds,
1436,Chokurdakh,70.6333,147.9167,67.15,39,79,6.91,RU,2021-08-11 02:05:18,broken clouds,
1437,Quelimane,-17.8786,36.8883,62.55,94,20,3.44,MZ,2021-08-11 02:05:18,few clouds,
1438,Bara,10.3744,10.7288,72.07,95,100,5.3,NG,2021-08-11 02:05:19,overcast clouds,
1439,Hualmay,-11.0964,-77.6139,61.99,81,50,9.51,PE,2021-08-11 02:05:19,scattered clouds,
1440,Port Alfred,-33.5906,26.891,55.4,55,0,8.43,ZA,2021-08-11 02:05:19,clear sky,
1441,Georgetown,5.4112,100.3354,82.89,78,40,8.05,MY,2021-08-11 02:00:36,light rain,
1442,New Norfolk,-42.7826,147.0587,60.71,69,100,3.0,AU,2021-08-11 02:05:20,light rain,
1443,Castro,-24.7911,-50.0119,60.93,60,100,2.51,BR,2021-08-11 02:05:20,overcast clouds,
1444,Atuona,-9.8,-139.0333,77.61,74,8,22.46,PF,2021-08-11 02:05:20,clear sky,
